[ X O   O | O X X   |   O   X | X O     ] A X => Square
[ X O   O | O X X   |   O   X | X   O   ] 3 X => Square
[ X O   O | O X X   |   O   X | X     O ] 4 X => Square
[ X O   O | O X X   |   O   X | X       ] 4 O
[ X O   O | O X X   |   O     | X       ] A X => Square
[ X O   O | O X X   |     O X | X O     ] A X => Square
[ X O   O | O X X   |     O X | X   O   ] 3 X => Square
[ X O   O | O X X   |     O X | X     O ] 4 X => Square
[ X O   O | O X X   |     O X | X       ] 4 O
[ X O   O | O X X   |     O   | X       ] 3 X => Square
[ X O   O | O X X   |       O | X       ] 4 X => Square
[ X O   O | O X X   |         | X       ] 3 O
[ X O   O | O X     |         | X       ] A X => Square
[ X O   O |   X O X | O   X   | X O     ] A X => Square
[ X O   O |   X O X | O   X   | X   O   ] 3 X => Square
[ X O   O |   X O X | O   X   | X     O ] 4 X => Square
[ X O   O |   X O X | O   X   | X       ] 4 O
[ X O   O |   X O   | O   X   | X       ] A X => Square
[ X O   O |   X O X |   O X   | X O     ] A X => Square
[ X O   O |   X O X |   O X   | X   O   ] 3 X => Square
[ X O   O |   X O X |   O X   | X     O ] 4 X => Square
[ X O   O |   X O X |   O X   | X       ] 4 O
[ X O   O |   X O   |   O X   | X       ] 2 X => Square
[ X O   O | X X O   | O     X | X O     ] A X => Square
[ X O   O | X X O   |   O   X | X O     ] A X => Square
[ X O   O | X X O   |     O X | X O     ] 3 X => Square
[ X O   O |     X X | O       | X O     ] A X => Square
[ X O   O | O   X X | O X     | X O     ] A X => Square
[ X O   O | O   X X | O X     | X   O   ] 3 X => Square
[ X O   O | O   X X | O X     | X     O ] 4 X => Square
[ X O   O | O   X X | O X     | X       ] 4 O
[ X O   O | O   X   | O X     | X       ] A X => Square
[ X O   O |   O X X | O X     | X O     ] A X => Square
[ X O   O |   O X X | O X     | X   O   ] 3 X => Square
[ X O   O |   O X X | O X     | X     O ] 4 X => Square
[ X O   O |   O X X | O X     | X       ] 4 O
[ X O   O |   O X   | O X     | X       ] 2 X => Square
[ X O   O | O   X   | O       | X X     ] A X => Square
[ X O   O |   O X   | O       | X X     ] 2 X => Square
[ X O   O |     X O | O       | X X     ] A X => Square
[ X O   O |     X   | O       | X X     ] 2 O
[ X O   O |     X   | O       | X       ] A X => Square
[ X O   O |     X X |   O     | X O     ] A X => Square
[ X O   O | X     X | O       | X O     ] A X => Square
[ X O   O | X     X |   O     | X O     ] A X => Square
[ X O   O |   X   X | O       | X O     ] A X => Square
[ X O   O |   X   X |   O     | X O     ] A X => Square
[ X O   O |     X X | O       | X O     ] A X => Square
[ X O   O |     X X |   O     | X O     ] A X => Square
[ X X   O | O O     | X O     |   X     ] A X => Square
[ X X   O | O O     | X   O   |   X     ] 3 X => Square
[ X X   O | O O     | X     O |   X     ] 4 X => Square
[ X X   O | O O     | X       | O X     ] A X => Square
[ X X   O | O O     | X       |   X O   ] 3 X => Square
[ X X   O | O O     | X       |   X   O ] 4 X => Square
[ X X   O | O O     | X       |   X     ] A O
[ X X   O | O O     |         |   X     ] A X => Square
[ X X   O | O   O   | X O     |   X     ] A X => Square
[ X X   O | O   O   | X   O   |   X     ] 3 X => Square
[ X X   O | O   O   | X     O |   X     ] 4 X => Square
[ X X   O | O   O   | X       | O X     ] A X => Square
[ X X   O | O   O   | X       |   X O   ] 3 X => Square
[ X X   O | O   O   | X       |   X   O ] 4 X => Square
[ X X   O | O   O   | X       |   X     ] A O
[ X X   O | O   O   |         |   X     ] 3 X => Square
[ X X   O | O     O |         |   X     ] 4 X => Square
[ X X   O | O       |         |   X     ] 2 O
[ X     O | O       |         |   X     ] 1 X => Square
[ X O   O | X O X   | O     X | O X     ] A X => Square
[ X O   O | X O X   | O     X |   X O   ] 3 X => Square
[ X O   O | X O X   | O     X |   X   O ] 4 X => Square
[ X O   O | X O X   | O     X |   X     ] 4 O
[ X O   O | X O X   | O       |   X     ] A X => Square
[ X O   O | X O X   |   O   X | O X     ] A X => Square
[ X O   O | X O X   |   O   X |   X O   ] 3 X => Square
[ X O   O | X O X   |   O   X |   X   O ] 4 X => Square
[ X O   O | X O X   |   O   X |   X     ] 4 O
[ X O   O | X O X   |   O     |   X     ] A X => Square
[ X O   O | X O X   |     O X | O X     ] A X => Square
[ X O   O | X O X   |     O X |   X O   ] 3 X => Square
[ X O   O | X O X   |     O X |   X   O ] 4 X => Square
[ X O   O | X O X   |     O X |   X     ] 4 O
[ X O   O | X O X   |     O   |   X     ] 3 X => Square
[ X O   O | X O X   |       O |   X     ] 4 X => Square
[ X O   O | X O X   |         |   X     ] 3 O
[ X O   O | X O     |         |   X     ] 2 X => Square
[ X   O O | X O   X | O   X   | O X     ] A X => Square
[ X   O O | X O   X | O   X   |   X O   ] 3 X => Square
[ X   O O | X O   X | O   X   |   X   O ] 4 X => Square
[ X   O O | X O   X | O   X   |   X     ] 4 O
[ X   O O | X O     | O   X   |   X     ] A X => Square
[ X   O O | X O   X |   O X   | O X     ] A X => Square
[ X   O O | X O   X |   O X   |   X O   ] 3 X => Square
[ X   O O | X O   X |   O X   |   X   O ] 4 X => Square
[ X   O O | X O   X |   O X   |   X     ] 4 O
[ X   O O | X O     |   O X   |   X     ] 2 X => Square
[ X   O O | X O X   | O     X | O X     ] A X => Square
[ X   O O | X O X   |   O   X | O X     ] A X => Square
[ X   O O | X O X   |     O X | O X     ] 3 X => Square
[ X   O O | X O X   |       X | O X     ] 3 O
[ X   O O | X O     |       X | O X     ] A X => Square
[ X X   O | O O X   | O     X | O X     ] A X => Square
[ X X   O | O O X   | O     X |   X O   ] 3 X => Square
[ X X   O | O O X   | O     X |   X   O ] 4 X => Square
[ X X   O | O O X   | O     X |   X     ] 4 O
[ X X   O | O O X   | O       |   X     ] A X => Square
[ X X   O |   O X O | O       |   X     ] 4 X => Square
[ X X   O |   O X   | O       |   X     ] 2 O
[ X     O |   O X   | O       |   X     ] 1 X => Square
[ X O   O | X O X   |   O   X | O X     ] A X => Square
[ X O   O | X O X   |   O   X |   X O   ] 3 X => Square
[ X O   O | X O X   |   O   X |   X   O ] 4 X => Square
[ X O   O | X O X   |   O   X |   X     ] 4 O
[ X O   O | X O X   |   O     |   X     ] A X => Square
[ X   O O | X O X   |   O   X | O X     ] A X => Square
[ X   O O | X O X   |   O   X |   X O   ] 3 X => Square
[ X   O O | X O X   |   O   X |   X   O ] 4 X => Square
[ X   O O | X O X   |   O   X |   X     ] 4 O
[ X   O O | X O X   |   O     |   X     ] 3 X => Square
[ X     O | X O X   |   O     |   X     ] 1 O
[ X     O |   O X   |   O     |   X     ] 2 X => Square
[ X O   O |   O X X | X   O   | O X     ] A X => Square
[ X O   O |   O X X | X   O   |   X O   ] 3 X => Square
[ X O   O |   O X X | X   O   |   X   O ] 4 X => Square
[ X O   O |   O X X | X   O   |   X     ] 4 O
[ X O   O |   O X   | X   O   |   X     ] 2 X => Square
[ X   O O |   O X   | X   O X | O X     ] A X => Square
[ X   O O |   O X   | X   O X |   X O   ] A X => Square
[ X   O O |   O X   | X   O X |   X   O ] 4 X => Square
[ X   O O |   O X   | X   O X |   X     ] 4 O
[ X   O O |   O X   | X   O   |   X     ] 3 X => Square
[ X     O |   O X   | X   O   |   X     ] 1 O
[ X     O |   O X   |     O   |   X     ] 3 X => Square
[ X O   O |   O X   |       O | X X     ] 2 X => Square
[ X     O |   O X   | O     O |   X X   ] 1 X => Square
[ X     O |   O X   |   O   O |   X X   ] 2 X => Square
[ X     O |   O X   |     O O |   X X   ] A X => Square
[ X     O |   O X   |       O |   X X   ] 3 O
[ X     O |   O X   |       O |   X     ] 4 X => Square
[ X     O |   O X   |         |   X     ] 3 O
[ X     O |   O     |         |   X     ] 2 X => Square
[ X O   O | X   O X | X O     | O X     ] A X => Square
[ X O   O | X   O X | X   O   | O X     ] 3 X => Square
[ X O   O | X   O X | X     O | O X     ] 4 X => Square
[ X O   O |   X O X | X O     | O X     ] A X => Square
[ X O   O |   X O X | X   O   | O X     ] 3 X => Square
[ X O   O |   X O X | X     O | O X     ] 4 X => Square
[ X O   O |     O X | X O     | O X X   ] 2 X => Square
[ X O   O |     O X | X   O   | O X X   ] 3 X => Square
[ X O   O |     O X | X     O | O X X   ] A X => Square
[ X O   O |     O X | X       | O X X   ] 3 O
[ X O   O |     O X | X       | O X     ] A X => Square
[ X X   O | O   O   | O X     |   X     ] A X => Square
[ X X   O | O   O   |   X O   |   X     ] 3 X => Square
[ X X   O | O   O   |   X   O |   X     ] 4 X => Square
[ X X   O | O   O   |   X     | O X     ] A X => Square
[ X X   O | O   O   |   X     |   X O   ] 3 X => Square
[ X X   O | O   O   |   X     |   X   O ] 4 X => Square
[ X X   O | O   O   |   X     |   X     ] A O
[ X     O | O   O   |   X     |   X     ] 1 X => Square
[ X X   O |   O O   | O X     |   X     ] A X => Square
[ X X   O |   O O   |   X O   |   X     ] 3 X => Square
[ X X   O |   O O   |   X   O |   X     ] 4 X => Square
[ X X   O |   O O   |   X     | O X     ] A X => Square
[ X X   O |   O O   |   X     |   X O   ] 3 X => Square
[ X X   O |   O O   |   X     |   X   O ] 4 X => Square
[ X X   O |   O O   |   X     |   X     ] A O
[ X     O |   O O   |   X     |   X     ] A X => Square
[ X     O |     O O | O X     |   X X   ] 1 X => Square
[ X     O |     O O |   X O   |   X X   ] 3 X => Square
[ X     O |     O O |   X   O |   X X   ] A X => Square
[ X     O |     O O |   X     |   X X   ] 3 O
[ X     O |     O O |   X     |   X     ] 4 X => Square
[ X     O |     O   |   X     |   X     ] 2 O
[ X     O |     O   |         |   X     ] 3 X => Square
[ X O   O |     X O | O       | X X     ] A X => Square
[ X O   O |     X O |   O     | X X     ] 2 X => Square
[ X     O |       O | O       |   X X   ] 1 X => Square
[ X O   O | X     O |   O     |   X X   ] 2 X => Square
[ X     O | O X   O |   O     |   X X   ] 1 X => Square
[ X     O |     X O | O O     |   X X   ] 1 X => Square
[ X     O |     X O |   O O   |   X X   ] A X => Square
[ X     O |     X O |   O   O |   X X   ] A X => Square
[ X     O |     X O |   O     |   X X   ] 3 O
[ X     O |       O |   O     |   X X   ] 2 X => Square
[ X     O | O     O |   X O   |   X X   ] 1 X => Square
[ X     O |   O   O |   X O   |   X X   ] A X => Square
[ X     O |     O O |   X O   |   X X   ] 3 X => Square
[ X     O |       O |   X O   |   X X   ] 2 O
[ X     O |       O |     O   |   X X   ] 3 X => Square
[ X     O |       O |       O |   X X   ] A X => Square
[ X     O |       O |         |   X X   ] 3 O
[ X     O |       O |         |   X     ] 4 X => Square
[ X     O |         |         |   X     ] 2 O
[ X     O |         |         |         ] 4 X => Square
[ X       |         |         |         ] 1 O
[         |         |         |         ] A X => Square 1
